Name,Brand,Current_price
HP EliteBook 820 G3 Co...,HP,21000.0
HP Elitebook 830 11th ...,,55000.0
HP EliteBook 840 G5 Co...,HP,45000.0
HP EliteBook 840 G5 Co...,HP,33000.0
HP EliteBook 840 G5 Co...,HP,36000.0
HP EliteBook 840 G5 Co...,HP,40000.0
HP EliteBook 840 G5 Co...,HP,44000.0
HP EliteBook 840 G5 Co...,HP,31000.0
HP EliteBook 840 G5 Co...,HP,50000.0
HP EliteBook 840 G5 Co...,HP,46000.0
HP EliteBook 840 G5 Co...,HP,37000.0
Hp Elite Dragonfly x36...,HP,50000.0
HP ProBook 450 G10 i7 ...,HP,130000.0
Lenovo ThinkPad T470s ...,Lenovo,27000.0
HP 14s Intel Core i5 8...,HP,108000.0
HP Spectre 2-in-1 Core...,HP,213000.0
"HP EliteBook 1040 G7, ...",HP,79000.0
Hp ProBook 430 G5 8GB ...,HP,33500.0
HP Omen 16 core i7 11t...,HP,230000.0
HP Spectre 2 in1 i7 13...,HP,200000.0
HP EliteBook 840 G3 i7...,HP,32500.0
Lenovo ThinkPad x260 i...,Lenovo,22000.0
"Dell Latitude 7480, Co...",Dell,28000.0
HP EliteBook 830 G5 i5...,HP,33000.0
Lenovo ThinkPad 11e 4G...,Lenovo,18000.0
Lenovo ThinkPad T470s ...,Lenovo,26000.0
HP ProBook 440 12th Ge...,HP,103000.0
HP 5295 Intel Core i5 ...,HP,85000.0
HP EliteBook 840 7th G...,HP,37000.0
Dell Latitude 5300 8th...,Dell,28500.0
HP EliteBook 820  core...,HP,29000.0
HP EliteBook 840 G5 Co...,HP,43000.0
Lenovo ThinkPad T470s ...,Lenovo,39000.0
HP EliteBook 840 G4 Co...,HP,33000.0
HP EliteBook 840 G4 Co...,HP,30000.0
HP EliteBook Folio 104...,HP,30000.0
Lenovo ThinkPad X280 i...,Lenovo,33000.0
HP EliteBook 840 G5 i5...,HP,36000.0
HP EliteBook 840 G2 Co...,HP,26500.0
HP EliteBook 840 G3 i5...,HP,23500.0
